time,g/L,metabolite
6.394884621840902e-14,0.11363636363636687,ethanol
23.955555555555613,0.28989297739297726,ethanol
49.933333333333394,0.5795905483405477,ethanol
72.02222222222228,0.6099236411736371,ethanol
95.97777777777783,0.737478956,ethanol
119.77777777777781,1.254659692159695,ethanol
144.04444444444448,1.495821308321311,ethanol
167.84444444444443,1.720794252,ethanol
191.95555555555575,1.783399470899468,ethanol
4.263256414560601e-14,0.19480519480519476,butyrate
23.95555556,1.393789081289082,butyrate
49.933333333333394,3.6477723665223625,butyrate
72.02222222222225,3.8242093554593524,butyrate
95.97777777777783,2.588128306878307,butyrate
119.77777777777781,1.6118025493025492,butyrate
143.8888888888889,1.6906415343915278,butyrate
167.84444444444455,1.461053992303988,butyrate
191.79999999999995,1.604843074,butyrate
4.263256414560601e-14,0.016233766233764158,acetone
23.955555555555613,-0.018548581,acetone
49.93333333333338,-0.004825036,acetone
72.02222222222228,0.28524831649831484,acetone
96.13333333333337,0.4290223665223678,acetone
119.77777777777781,1.4007635882635903,acetone
143.8888888888889,3.3464856902356868,acetone
167.84444444444455,6.883131914381913,acetone
191.8,6.085362554112553,acetone
4.973799150320701e-14,0.21103896103895892,acetate
23.955555555555613,1.1502825877825877,acetate
49.933333333333394,2.332837301587297,acetate
71.86666667,2.2820165945165947,acetate
95.82222222222224,3.7894420394420365,acetate
119.93333333333335,3.6734758297258274,acetate
143.8888888888889,4.839992183742183,acetate
167.84444444444455,5.113651394901396,acetate
191.7999999999999,5.549648268398272,acetate
-0.311111111,0.11366642616642508,butanol
24.111111111111157,0.16000781625781357,butanol
49.933333333333394,0.12504509379508733,butanol
71.86666667,0.7722763347763326,butanol
95.82222222222227,1.192039442039441,butanol
119.93333333333338,4.063086219336219,butanol
143.73333333333335,9.677669553,butanol
167.8444444444445,13.181833213083213,butanol
191.80000000000007,12.887310606060606,butanol
-0.155555556, 1.1363886884720245,xylose
23.95555556, 5.894410373577042,xylose
49.93333333333338, 19.74304052429052,xylose
72.02222222222224, 14.003552388969059,xylose
95.97777778, 10.347096961680293,xylose
119.77777777777781, 8.151705547538874,xylose
143.7333333333334, 5.252825877825874,xylose
167.8444444444445, 3.5985099005932284,xylose
191.8, 1.1054743867243921,xylose