inoculation_ratio,exp_val
"(1, 1, 2)", 14.61340206185568
"(1, 2, 1)", 13.891752577319608
"(2, 1, 1)", 29.407216494845372
"(1, 1, 1)", 59.71649484536084
"(1, 2, 2)", 36.623711340206185
"(2, 1, 2)", 23.99484536082474
"(2, 2, 1)",86.41752577
"(1, 2, 3)", 28.32474226804122
"(1, 3, 2)", 40.95360824742268
"(2, 1, 3)", 40.41237113402062
"(2, 3, 1)", 98.68556701030928
"(3, 1, 2)", 40.231958762886634
"(3, 2, 1)", 92.19072164948454
"(1, 3, 3)", 14.61340206185568
"(3, 1, 3)", 38.06701030927836
"(3, 3, 1)", 94.35567010309279